Time (s),A/D Value
2.31E-06,0.05211658
2.31E-06,0.0520784
2.31E-06,0.05206593
2.32E-06,0.0520851
2.32E-06,0.0521358
2.33E-06,0.05220464
2.33E-06,0.05224153
2.33E-06,0.0522471
2.34E-06,0.05226029
2.34E-06,0.05223409
2.35E-06,0.05219211
2.35E-06,0.05223206
2.35E-06,0.05230482
2.36E-06,0.0523621
2.36E-06,0.05240072
2.37E-06,0.05239614
2.37E-06,0.05238013
2.37E-06,0.05235062
2.38E-06,0.0523233
2.38E-06,0.05236815
2.39E-06,0.05243627
2.39E-06,0.05248462
2.39E-06,0.05251572
2.40E-06,0.05250794
2.40E-06,0.05250434
2.41E-06,0.05251174
2.41E-06,0.05249376
2.41E-06,0.05247315
2.42E-06,0.05248783
2.42E-06,0.05253335
2.43E-06,0.05257532
2.43E-06,0.0526075
2.43E-06,0.05260708
2.44E-06,0.05258506
2.44E-06,0.05257544
2.45E-06,0.05256319
2.45E-06,0.05258116
2.45E-06,0.05264464
2.46E-06,0.05270546
2.46E-06,0.05271978
2.47E-06,0.05270277
2.47E-06,0.05269794
2.47E-06,0.05270535
2.48E-06,0.05272673
2.48E-06,0.05276459
2.49E-06,0.05281059
2.49E-06,0.05285487
2.49E-06,0.05288581
2.50E-06,0.05290084
2.50E-06,0.05289732
2.51E-06,0.05289204
2.51E-06,0.05289618
2.51E-06,0.05292189
2.52E-06,0.05298125
2.52E-06,0.05300506
2.53E-06,0.0529999
2.53E-06,0.05304242
2.53E-06,0.05305494
2.54E-06,0.05300766
2.54E-06,0.05299236
2.55E-06,0.05301541
2.55E-06,0.05304265
2.55E-06,0.05306513
2.56E-06,0.05309342
2.56E-06,0.05311672
2.57E-06,0.05309217
2.57E-06,0.05305331
2.57E-06,0.05305285
2.58E-06,0.05307885
2.58E-06,0.05312714
2.59E-06,0.05319015
2.59E-06,0.05321346
2.59E-06,0.05318467
2.60E-06,0.05314328
2.60E-06,0.05311504
2.61E-06,0.05314678
2.61E-06,0.05321638
2.61E-06,0.05326162
2.62E-06,0.05328953
2.62E-06,0.05331356
2.63E-06,0.05332477
2.63E-06,0.05330303
2.63E-06,0.05328681
2.64E-06,0.05332897
2.64E-06,0.05339804
2.65E-06,0.05345554
2.65E-06,0.05349437
2.65E-06,0.05352685
2.66E-06,0.05355388
2.66E-06,0.05352311
2.67E-06,0.05346916
2.67E-06,0.0534748
2.67E-06,0.05353045
2.68E-06,0.05360965
2.68E-06,0.05367965
2.69E-06,0.05369962
2.69E-06,0.05366575
2.69E-06,0.05362713
2.70E-06,0.05361971
2.70E-06,0.05363293
2.71E-06,0.05366725
2.71E-06,0.0537312
2.71E-06,0.05376589
2.72E-06,0.0537301
2.72E-06,0.0537055
2.73E-06,0.05371211
2.73E-06,0.05369345
2.73E-06,0.0536869
2.74E-06,0.05372645
2.74E-06,0.05377166
2.75E-06,0.0537809
2.75E-06,0.05376434
2.76E-06,0.05375694
2.76E-06,0.05373585
2.76E-06,0.05371168
2.77E-06,0.05375241
2.77E-06,0.05380764
2.78E-06,0.05382908
2.78E-06,0.0538419
2.78E-06,0.05384571
2.79E-06,0.05385854
2.79E-06,0.05386287
2.80E-06,0.05386639
2.80E-06,0.05388325
2.80E-06,0.05390519
2.81E-06,0.05395952
2.81E-06,0.05401501
2.82E-06,0.05405614
2.82E-06,0.0540859
2.82E-06,0.05408554
2.83E-06,0.05407803
2.83E-06,0.05410574
2.84E-06,0.05417833
2.84E-06,0.05424016
2.84E-06,0.05425207
2.85E-06,0.05425129
2.85E-06,0.05425397
2.86E-06,0.05422886
2.86E-06,0.0542141
2.86E-06,0.05424777
2.87E-06,0.05428825
2.87E-06,0.05433203
2.88E-06,0.05437448
2.88E-06,0.05439067
2.88E-06,0.05438256
2.89E-06,0.05433467
2.89E-06,0.05429672
2.90E-06,0.05433377
2.90E-06,0.0543931
2.90E-06,0.05443696
2.91E-06,0.05445579
2.91E-06,0.05444498
2.92E-06,0.05444763
2.92E-06,0.05443612
2.92E-06,0.05438402
2.93E-06,0.05437142
2.93E-06,0.05442144
2.94E-06,0.05446703
2.94E-06,0.05448431
2.94E-06,0.05449315
2.95E-06,0.05451801
2.95E-06,0.05454055
2.96E-06,0.05450438
2.96E-06,0.05447556
2.96E-06,0.05452359
2.97E-06,0.05457695
2.97E-06,0.05460862
2.98E-06,0.054644
2.98E-06,0.05465199
2.98E-06,0.05464111
2.99E-06,0.05464712
2.99E-06,0.05465287
3.00E-06,0.0546643
3.00E-06,0.05470934
3.00E-06,0.05477222
3.01E-06,0.05481606
3.01E-06,0.05482979
3.02E-06,0.05480972
3.02E-06,0.05479006
3.02E-06,0.05481977
3.03E-06,0.05488748
3.03E-06,0.05495156
3.04E-06,0.05496581
3.04E-06,0.05497074
3.04E-06,0.05501354
3.05E-06,0.0550051
3.05E-06,0.05494815
3.06E-06,0.05495578
3.06E-06,0.05503171
3.06E-06,0.05510885
3.07E-06,0.05514921
3.07E-06,0.05516787
3.08E-06,0.05517114
3.08E-06,0.05514649
3.08E-06,0.05512913
3.09E-06,0.05513737
3.09E-06,0.05516592
3.10E-06,0.05523266
3.10E-06,0.05528609
3.10E-06,0.05530573
3.11E-06,0.05533982
3.11E-06,0.05533168
3.12E-06,0.05528125
3.12E-06,0.0552781
3.12E-06,0.05532462
3.13E-06,0.05537501
3.13E-06,0.05538482
3.14E-06,0.0553751
3.14E-06,0.05538793
3.14E-06,0.0553633
3.15E-06,0.05531472
3.15E-06,0.05533559
3.16E-06,0.05538627
3.16E-06,0.05545085
3.16E-06,0.05553776
3.17E-06,0.05556881
3.17E-06,0.05556694
3.18E-06,0.0555493
3.18E-06,0.0555167
3.18E-06,0.05553349
3.19E-06,0.0555555
3.19E-06,0.05559643
3.20E-06,0.05569797
3.20E-06,0.05574542
3.20E-06,0.05571584
3.21E-06,0.05569435
3.21E-06,0.05566443
3.22E-06,0.05563497
3.22E-06,0.05567558
3.22E-06,0.05576413
3.23E-06,0.05584403
3.23E-06,0.05587381
3.24E-06,0.05584519
3.24E-06,0.05580245
3.24E-06,0.05576896
3.25E-06,0.05576735
3.25E-06,0.05580499
3.26E-06,0.05585036
3.26E-06,0.05589263
3.27E-06,0.055921
3.27E-06,0.05592462
3.27E-06,0.05590563
3.28E-06,0.05589104
3.28E-06,0.05591041
3.29E-06,0.05593205
3.29E-06,0.05595676
3.29E-06,0.0560014
3.30E-06,0.05603051
3.30E-06,0.05605023
3.31E-06,0.05603215
3.31E-06,0.05599827
3.31E-06,0.05603467
3.32E-06,0.0561046
3.32E-06,0.05616893
3.33E-06,0.05621121
3.33E-06,0.05621676
3.33E-06,0.05619304
3.34E-06,0.05615522
3.34E-06,0.05616263
3.35E-06,0.05621865
3.35E-06,0.05628667
3.35E-06,0.05634294
3.36E-06,0.05632758
3.36E-06,0.05628686
3.37E-06,0.05630641
3.37E-06,0.0563276
3.37E-06,0.05631477
3.38E-06,0.05633973
3.38E-06,0.05642742
3.39E-06,0.05651037
3.39E-06,0.05654041
3.39E-06,0.05652777
